name,description,short_name,id
Generación programada PBF Gas Natural,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción gas natural.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Gas Natural,11
Generación programada PBF Eólica terrestre,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción eólica terrestre.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Eólica terrestre,12
Generación programada PBF Eólica marina,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción eólica marina.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Eólica marina,13
Generación programada PBF Solar fotovoltaica,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción solar fotovoltaica.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Solar fotovoltaica,14
Generación programada PBF Solar térmica,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción solar térmica.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Solar térmica,15
Generación programada PBF Océano y geotérmica,"<p>Es el programa de energ&iacute;a diario, con desglose horario, de las diferentes Unidades de Programaci&oacute;n correspondientes a ventas y adquisiciones de energ&iacute;a en el sistema el&eacute;ctrico peninsular espa&ntilde;ol. En concreto este indicador se refiere a las unidades de programaci&oacute;n con tipo de producci&oacute;n oc&eacute;ano y geot&eacute;rmica.</p>

<p>Este programa es establecido por el OS a partir de la casaci&oacute;n del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programaci&oacute;n que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programaci&oacute;n, incluyendo las correspondientes a la ejecuci&oacute;n de contratos bilaterales con entrega f&iacute;sica de los cuales se ha confirmado la ejecuci&oacute;n.</p>

<p><b>Publicaci&oacute;n:</b> diariamente a partir de las 13:45 horas con la informaci&oacute;n del d&iacute;a D+1.</p>
",Océano y geotérmica,16
Generación programada PBF Gas Natural Cogeneración,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción gas natural cogeneración.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Gas Natural Cogeneración,17
Generación programada PBF Derivados del petróleo ó carbón,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción derivados del petróleo o carbón.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Derivados del petróleo ó carbón,18
Generación programada PBF Subproductos minería,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción subproductos minería.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Subproductos minería,19
Generación programada PBF Energía residual,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción energía residual.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Energía residual,20
Generación programada PBF Biomasa,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción biomasa.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Biomasa,21
Generación programada PBF Biogás,"<p>Es el programa de energ&iacute;a diario, con desglose horario, de las diferentes Unidades de Programaci&oacute;n correspondientes a ventas y adquisiciones de energ&iacute;a en el sistema el&eacute;ctrico peninsular espa&ntilde;ol. En concreto este indicador se refiere a las unidades de programaci&oacute;n con tipo de producci&oacute;n biog&aacute;s.</p>

<p>Este programa es establecido por el OS a partir de la casaci&oacute;n del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programaci&oacute;n que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programaci&oacute;n, incluyendo las correspondientes a la ejecuci&oacute;n de contratos bilaterales con entrega f&iacute;sica de los cuales se ha confirmado la ejecuci&oacute;n.</p>

<p><b>Publicaci&oacute;n:</b> diariamente a partir de las 13:45 horas con la informaci&oacute;n del d&iacute;a D+1.</p>
",Biogás,22
Generación programada PBF Residuos domésticos y similares,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción residuos domésticos y similares.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Residuos domésticos y similares,23
Generación programada PBF Residuos varios,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción residuos varios.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Residuos varios,24
Generación programada PBF Consumo bombeo,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo de producción consumo bombeo.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Consumo bombeo,25
Generación programada PBF Enlace Baleares,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación del enlace Baleares.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Enlace Baleares,26
Generación programada PBF Genéricas,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación con tipo genéricas.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Genéricas,27
Generación programada PBF Importación Francia,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de importación con Francia.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Importación Francia,28
Generación programada PBF Importación Portugal,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de importación con Portugal.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Importación Portugal,29
Generación programada PBF Importación Marruecos,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de importación con Marruecos.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Importación Marruecos,30
Generación programada PBF Importación Andorra,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de importación con Andorra.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Importación Andorra,31
Generación programada PBF Exportación Francia,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de exportación con Francia.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Exportación Francia,32
Generación programada PBF Exportación Portugal,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de exportación con Portugal.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Exportación Portugal,33
Generación programada PBF Exportación Marruecos,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de exportación con Marruecos.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Exportación Marruecos,34
Generación programada PBF Exportación Andorra,"<p>Es el programa de energía diario, con desglose horario, de las diferentes Unidades de Programación correspondientes a ventas y adquisiciones de energía en el sistema eléctrico peninsular español. En concreto este indicador se refiere a las unidades de programación de exportación con Andorra.</p><p>Este programa es establecido por el OS a partir de la casación del OM y de las nominaciones de programas de todas y cada una de las Unidades de Programación que le han sido comunicadas por los sujetos titulares de dichas Unidades de Programación, incluyendo las correspondientes a la ejecución de contratos bilaterales con entrega física de los cuales se ha confirmado la ejecución.</p><p><b>Publicación:</b> diariamente a partir de las 13:45 horas con la información del día D+1.</p>",Exportación Andorra,35
Generación programada PVP Hidráulica UGH,"<p>Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda.</p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Hidráulica UGH.</p><p><b>Publicación:</b> diariamente a partir de las 16:00 horas con la información del día D+1.</p>",Hidráulica UGH,36
Generación programada PVP Hidráulica no UGH,"<p>Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda.</p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Hidráulica no UGH.</p><p><b>Publicación:</b> diariamente a partir de las 16:00 horas con la información del día D+1.</p>",Hidráulica no UGH,37
Generación programada PVP Turbinación bombeo,"<p>Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda.</p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Turbinación bombeo.</p><p><b>Publicación:</b> diariamente a partir de las 16:00 horas con la información del día D+1.</p>",Turbinación bombeo,38
Generación programada PVP Nuclear,"<p>Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda.</p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Nuclear.</p><p><b>Publicación:</b> diariamente a partir de las 16:00 horas con la información del día D+1.</p>",Nuclear,39
Generación programada PVP Hulla antracita Anexo II RD 134/2010,"<p>Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda.</p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Hulla antracita Anexo II RD 134/2010.</p><p><b>Publicación:</b> diariamente a partir de las 16:00 horas con la información del día D+1.</p>",Hulla antracita RD 134/2010,40
Generación programada PVP Hulla sub-bituminosa Anexo II RD 134/2010,"<p>Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda.</p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Hulla sub-bituminosa Anexo II RD 134/2010.</p><p><b>Publicación:</b> diariamente a partir de las 16:00 horas con la información del día D+1.</p>",Hulla sub-bituminosa RD 134/2010,41
Generación programada PVP Hulla antracita,"<p>Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda.</p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Hulla antracita.</p><p><b>Publicación:</b> diariamente a partir de las 16:00 horas con la información del día D+1.</p>",Hulla antracita,42
Generación programada PVP Hulla sub-bituminosa,"<p>Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda.</p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Hulla sub-bituminosa.</p><p><b>Publicación:</b> diariamente a partir de las 16:00 horas con la información del día D+1.</p>",Hulla sub-bituminosa,43
Generación programada PVP Ciclo combinado,"<p>Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda.</p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Ciclo combinado.</p><p><b>Publicación:</b> diariamente a partir de las 16:00 horas con la información del día D+1.</p>",Ciclo combinado,44
Generación programada PVP Fuel,"<p>Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda.</p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Fuel.</p><p><b>Publicación:</b> diariamente a partir de las 16:00 horas con la información del día D+1.</p>",Fuel,45
Generación programada PVP Gas Natural,"<p>Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda.</p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Gas Natural.</p><p><b>Publicación:</b> diariamente a partir de las 16:00 horas con la información del día D+1.</p>",Gas Natural,46
Generación programada PVP Eólica terrestre,"<p>Energía correspondiente al programa diario, con desglose por periodos de programación, que incorpora las modificaciones introducidas en el PDBF para la resolución de las restricciones técnicas identificadas por criterios de seguridad y para el reequilibrio posterior generación-demanda.</p><p>En concreto este indicador se refiere a las unidades de programación con tipo de producción Eólica terrestre.</p><p><b>Publicación:</b> diariamente a partir de las 16:00 horas con la información del día D+1.</p>",Eólica terrestre,47
